timesteps,Moz-North-Center
2005-01-01 00:00:00,5.284832623143196e-09
2005-01-01 01:00:00,5.2849076691788155e-09
2005-01-01 02:00:00,5.284982724457597e-09
2005-01-01 03:00:00,5.285057810267103e-09
2005-01-01 04:00:00,5.285132904953028e-09
2005-01-01 05:00:00,5.285201683115109e-09
2005-01-01 06:00:00,5.285231472491715e-09
2005-01-01 07:00:00,5.285240443631645e-09
2005-01-01 08:00:00,5.2852598809540315e-09
2005-01-01 09:00:00,5.285308940233895e-09
2005-01-01 10:00:00,5.28536493506003e-09
2005-01-01 11:00:00,5.2853897099578235e-09
2005-01-01 12:00:00,5.285393609088372e-09
2005-01-01 13:00:00,5.285428833913838e-09
2005-01-01 14:00:00,5.285489251372375e-09
2005-01-01 15:00:00,5.2855549396556214e-09
2005-01-01 16:00:00,5.285613586309247e-09
2005-01-01 17:00:00,5.285654002892433e-09
2005-01-01 18:00:00,5.285637001870111e-09
2005-01-01 19:00:00,5.285548704440174e-09
2005-01-01 20:00:00,5.286015745989592e-09
2005-01-01 21:00:00,5.286037072896927e-09
2005-01-01 22:00:00,5.286100172786674e-09
2005-01-01 23:00:00,5.286175608682902e-09
2005-01-02 00:00:00,5.28625105396435e-09
2005-01-02 01:00:00,5.28632652976728e-09
2005-01-02 02:00:00,5.286402014847152e-09
2005-01-02 03:00:00,5.286477530549672e-09
2005-01-02 04:00:00,5.286944802228359e-09
2005-01-02 05:00:00,5.287014019757272e-09
2005-01-02 06:00:00,5.287481424422048e-09
2005-01-02 07:00:00,5.287490751941163e-09
2005-01-02 08:00:00,5.287510556079867e-09
2005-01-02 09:00:00,5.28755998465498e-09
2005-01-02 10:00:00,5.2876163635949715e-09
2005-01-02 11:00:00,5.287641469923524e-09
2005-01-02 12:00:00,5.287645681690599e-09
2005-01-02 13:00:00,5.287681237785716e-09
2005-01-02 14:00:00,5.288148807906915e-09
2005-01-02 15:00:00,5.288214873692468e-09
2005-01-02 16:00:00,5.288273918472361e-09
2005-01-02 17:00:00,5.288314712867461e-09
2005-01-02 18:00:00,5.288298034598903e-09
2005-01-02 19:00:00,5.288209922686459e-09
2005-01-02 20:00:00,5.2881619090168455e-09
2005-01-02 21:00:00,5.28862959837934e-09
2005-01-02 22:00:00,5.2890974037985936e-09
2005-01-02 23:00:00,5.289173287255228e-09
2005-01-03 00:00:00,5.289249201251446e-09
2005-01-03 01:00:00,5.289325124642187e-09
2005-01-03 02:00:00,5.289401078581229e-09
2005-01-03 03:00:00,5.28947704182748e-09
2005-01-03 04:00:00,5.2899450576294205e-09
2005-01-03 05:00:00,5.290020887757612e-09
2005-01-03 06:00:00,5.290070513712252e-09
2005-01-03 07:00:00,5.29002088950996e-09
2005-01-03 08:00:00,5.2899888110318194e-09
2005-01-03 09:00:00,5.289993251191589e-09
2005-01-03 10:00:00,5.2899933284059365e-09
2005-01-03 11:00:00,5.290461472436001e-09
2005-01-03 12:00:00,5.2904586461496566e-09
2005-01-03 13:00:00,5.290509850550275e-09
2005-01-03 14:00:00,5.290978122910178e-09
2005-01-03 15:00:00,5.291446511649633e-09
2005-01-03 16:00:00,5.29151081509018e-09
2005-01-03 17:00:00,5.2915328538820325e-09
2005-01-03 18:00:00,5.2915096177754806e-09
2005-01-03 19:00:00,5.29145280638085e-09
2005-01-03 20:00:00,5.291921313129475e-09
2005-01-03 21:00:00,5.292389936387507e-09
2005-01-03 22:00:00,5.292466323149897e-09
2005-01-03 23:00:00,5.292542740726957e-09
2005-01-04 00:00:00,5.292619188978374e-09
