timesteps,Zambia
2005-01-01 00:00:00,9.442198186435143e-07
2005-01-01 01:00:00,9.442229937969654e-07
2005-01-01 02:00:00,9.442219036503636e-07
2005-01-01 03:00:00,9.442179660845416e-07
2005-01-01 04:00:00,9.442451512863193e-07
2005-01-01 05:00:00,9.442285297176442e-07
2005-01-01 06:00:00,9.442118094063024e-07
2005-01-01 07:00:00,9.441949906565314e-07
2005-01-01 08:00:00,9.441780737709551e-07
2005-01-01 09:00:00,9.441610590505909e-07
2005-01-01 10:00:00,9.441439467948625e-07
2005-01-01 11:00:00,9.441267369882305e-07
2005-01-01 12:00:00,9.441094299236229e-07
2005-01-01 13:00:00,9.441375738204629e-07
2005-01-01 14:00:00,9.441203125205773e-07
2005-01-01 15:00:00,9.441029539002381e-07
2005-01-01 16:00:00,9.441311531779547e-07
2005-01-01 17:00:00,9.441591098588725e-07
2005-01-01 18:00:00,9.441419402851521e-07
2005-01-01 19:00:00,9.441246726798645e-07
2005-01-01 20:00:00,9.441526854463139e-07
2005-01-01 21:00:00,9.441354634470583e-07
2005-01-01 22:00:00,9.441181433541965e-07
2005-01-01 23:00:00,9.441066120739743e-07
2005-01-02 00:00:00,9.44096519455476e-07
2005-01-02 01:00:00,9.441247735651398e-07
2005-01-02 02:00:00,9.441235678833243e-07
2005-01-02 03:00:00,9.441194156643677e-07
2005-01-02 04:00:00,9.441137806096784e-07
2005-01-02 05:00:00,9.441418871904539e-07
2005-01-02 06:00:00,9.441245679523234e-07
2005-01-02 07:00:00,9.441071504145611e-07
2005-01-02 08:00:00,9.440896348737955e-07
2005-01-02 09:00:00,9.44117947439524e-07
2005-01-02 10:00:00,9.441460181975078e-07
2005-01-02 11:00:00,9.441738454625085e-07
2005-01-02 12:00:00,9.441566631764086e-07
2005-01-02 13:00:00,9.441843971009512e-07
2005-01-02 14:00:00,9.44167260750799e-07
2005-01-02 15:00:00,9.441949011914835e-07
2005-01-02 16:00:00,9.441778109362979e-07
2005-01-02 17:00:00,9.441606205745729e-07
2005-01-02 18:00:00,9.441433304121704e-07
2005-01-02 19:00:00,9.44125940753374e-07
2005-01-02 20:00:00,9.441084519008996e-07
2005-01-02 21:00:00,9.441366041740519e-07
2005-01-02 22:00:00,9.441191602536401e-07
2005-01-02 23:00:00,9.441075188333466e-07
2005-01-03 00:00:00,9.441182675060607e-07
2005-01-03 01:00:00,9.441463355089917e-07
2005-01-03 02:00:00,9.44156954907267e-07
2005-01-03 03:00:00,9.441565594640626e-07
2005-01-03 04:00:00,9.44150044673855e-07
2005-01-03 05:00:00,9.441778366984282e-07
2005-01-03 06:00:00,9.441605885811069e-07
2005-01-03 07:00:00,9.441432400091946e-07
2005-01-03 08:00:00,9.441710915430245e-07
2005-01-03 09:00:00,9.441986980526457e-07
