techs,colors
hydroB,#1D3EFF
supply_waterC,#0287FF
supply_waterD,#07FBF5
hydro0,#1DFF97
ElectricTransmission132kV,#8465A9
GasEngine,#E9A603
demand_power,#072486
spillageC,#FFAE02
PV,#F3F311
Wind,#FF2020
supply_water0,#0287FF
storageD,#3B61E3
ConversionPlus0,#19122b
ElectricTransmission220kV,#8465A9
supply_waterA,#0287FF
WaterDTransmission,#000572
storageC,#FF02EF
storageB,#FF02EF
hydro,#02FFD3
ElectricTransmission275kV,#8465A9
ConversionPlusC,#3c7632
demand_waterB,#BD07FB
hydroD,#003C72
ElectricTransmission330kV,#8465A9
supply_waterB,#0287FF
DieselEngine,#E33B78
hydroC,#118EC2
storageA,#FF02EF
spillageD,#FFAE02
hydroA,#1DFF97
spillageB,#FFAE02
ConversionPlusA,#17344c
Coal_old,#5E5E5E
ElectricTransmission400kV,#8465A9
WaterCTransmission,#000572
Nuclear,#84008A
ElectricTransmission533kV,#8465A9
Coal,#CCCCCC
demand_waterA,#BD07FB
demand_waterC,#BD07FB
HFO,#AF2D2D
Biomass,#20FF30
ConversionPlusB,#185b48
spillageA,#7e7a36
OCGT,#E84C4C
