techs,inheritance
supply_waterA,supply
hydroB,conversion
Coal_old,supply
Wind,supply_plus
ElectricTransmission220kV,transmission
hydroC,conversion
supply_waterC,supply
demand_waterB,demand
spillageC,conversion
hydro,supply
storageB,storage
ElectricTransmission275kV,transmission
ElectricTransmission330kV,transmission
WaterCTransmission,transmission
Nuclear,supply
ConversionPlusB,conversion_plus
hydroD,conversion
ConversionPlus0,conversion_plus
ElectricTransmission400kV,transmission
Biomass,supply
demand_waterA,demand
hydroA,conversion
storageC,storage
WaterDTransmission,transmission
storageA,storage
supply_waterD,supply
OCGT,supply
storageD,storage
supply_water0,supply
Coal,supply
HFO,supply
spillageA,conversion
hydro0,conversion
spillageB,conversion
demand_waterC,demand
ElectricTransmission533kV,transmission
demand_power,demand
PV,supply_plus
ConversionPlusA,conversion_plus
DieselEngine,supply
spillageD,conversion
supply_waterB,supply
ElectricTransmission132kV,transmission
ConversionPlusC,conversion_plus
GasEngine,supply
