locs,techs,timesteps,storage
Moz-North-Center,storageD,2005-01-01 00:00:00,44150492517.4463
Moz-North-Center,storageD,2005-01-01 01:00:00,44149184556.55833
Moz-North-Center,storageD,2005-01-01 02:00:00,44147876486.62605
Moz-North-Center,storageD,2005-01-01 03:00:00,44146567936.68775
Moz-North-Center,storageD,2005-01-01 04:00:00,44145259284.161095
Moz-North-Center,storageD,2005-01-01 05:00:00,44144060753.513374
Moz-North-Center,storageD,2005-01-01 06:00:00,44143541656.364265
Moz-North-Center,storageD,2005-01-01 07:00:00,44135405627.364265
Moz-North-Center,storageD,2005-01-01 08:00:00,44135066926.79004
Moz-North-Center,storageD,2005-01-01 09:00:00,44134212071.157974
Moz-North-Center,storageD,2005-01-01 10:00:00,44133236391.13493
Moz-North-Center,storageD,2005-01-01 11:00:00,44125100362.13493
Moz-North-Center,storageD,2005-01-01 12:00:00,44125032423.83307
Moz-North-Center,storageD,2005-01-01 13:00:00,44116896394.83307
Moz-North-Center,storageD,2005-01-01 14:00:00,44115843720.95391
Moz-North-Center,storageD,2005-01-01 15:00:00,44107707691.95391
Moz-North-Center,storageD,2005-01-01 16:00:00,44099571662.95391
Moz-North-Center,storageD,2005-01-01 17:00:00,44098867536.36157
Moz-North-Center,storageD,2005-01-01 18:00:00,44099163721.65614
Moz-North-Center,storageD,2005-01-01 19:00:00,44100702048.583084
Moz-North-Center,storageD,2005-01-01 20:00:00,44092566019.583084
Moz-North-Center,storageD,2005-01-01 21:00:00,44092194545.4175
Moz-North-Center,storageD,2005-01-01 22:00:00,44091095489.94636
Moz-North-Center,storageD,2005-01-01 23:00:00,44089781617.77527
Moz-North-Center,storageD,2005-01-02 00:00:00,44088467634.70917
Moz-North-Center,storageD,2005-01-02 01:00:00,44080331605.70917
Moz-North-Center,storageD,2005-01-02 02:00:00,44079017034.72704
Moz-North-Center,storageD,2005-01-02 03:00:00,44070881005.72704
Moz-North-Center,storageD,2005-01-02 04:00:00,44069565844.21332
Moz-North-Center,storageD,2005-01-02 05:00:00,44068360815.66555
Moz-North-Center,storageD,2005-01-02 06:00:00,44067835250.48288
Moz-North-Center,storageD,2005-01-02 07:00:00,44059699221.48288
Moz-North-Center,storageD,2005-01-02 08:00:00,44059354540.64166
Moz-North-Center,storageD,2005-01-02 09:00:00,44051218511.64166
Moz-North-Center,storageD,2005-01-02 10:00:00,44050237310.75619
Moz-North-Center,storageD,2005-01-02 11:00:00,44049800377.754555
Moz-North-Center,storageD,2005-01-02 12:00:00,44049727079.67287
Moz-North-Center,storageD,2005-01-02 13:00:00,44049108297.57162
Moz-North-Center,storageD,2005-01-02 14:00:00,44048050539.41551
Moz-North-Center,storageD,2005-01-02 15:00:00,44046901113.787575
Moz-North-Center,storageD,2005-01-02 16:00:00,44045873875.092674
Moz-North-Center,storageD,2005-01-02 17:00:00,44045164168.46561
Moz-North-Center,storageD,2005-01-02 18:00:00,44045454321.11991
Moz-North-Center,storageD,2005-01-02 19:00:00,44037318292.11991
Moz-North-Center,storageD,2005-01-02 20:00:00,44038153641.65208
Moz-North-Center,storageD,2005-01-02 21:00:00,44037776555.09444
Moz-North-Center,storageD,2005-01-02 22:00:00,44036671448.813416
Moz-North-Center,storageD,2005-01-02 23:00:00,44028535419.813416
Moz-North-Center,storageD,2005-01-03 00:00:00,44027215374.08007
Moz-North-Center,storageD,2005-01-03 01:00:00,44025895218.15773
Moz-North-Center,storageD,2005-01-03 02:00:00,44024574584.264824
Moz-North-Center,storageD,2005-01-03 03:00:00,44023253841.766884
Moz-North-Center,storageD,2005-01-03 04:00:00,44021932617.58397
Moz-North-Center,storageD,2005-01-03 05:00:00,44020614569.94507
Moz-North-Center,storageD,2005-01-03 06:00:00,44019752021.020065
Moz-North-Center,storageD,2005-01-03 07:00:00,44011615992.020065
Moz-North-Center,storageD,2005-01-03 08:00:00,44012173560.266716
Moz-North-Center,storageD,2005-01-03 09:00:00,44004037531.266716
Moz-North-Center,storageD,2005-01-03 10:00:00,44004036189.16649
Moz-North-Center,storageD,2005-01-03 11:00:00,44004085409.964325
Moz-North-Center,storageD,2005-01-03 12:00:00,44004134522.86086
Moz-North-Center,storageD,2005-01-03 13:00:00,43995998493.86086
Moz-North-Center,storageD,2005-01-03 14:00:00,43994881831.656555
Moz-North-Center,storageD,2005-01-03 15:00:00,43993598692.822174
Moz-North-Center,storageD,2005-01-03 16:00:00,43992481883.905876
Moz-North-Center,storageD,2005-01-03 17:00:00,43984345854.905876
Moz-North-Center,storageD,2005-01-03 18:00:00,43984749405.70392
Moz-North-Center,storageD,2005-01-03 19:00:00,43985736092.97478
Moz-North-Center,storageD,2005-01-03 20:00:00,43977600063.97478
Moz-North-Center,storageD,2005-01-03 21:00:00,43976481411.62254
Moz-North-Center,storageD,2005-01-03 22:00:00,43968345382.62254
Moz-North-Center,storageD,2005-01-03 23:00:00,43967018900.20874
Moz-North-Center,storageD,2005-01-04 00:00:00,43965691939.16606
Moz-North-Center,storageD,2005-01-04 01:00:00,43957555910.16606
Moz-North-Center,storageD,2005-01-04 02:00:00,43956227987.90916
Moz-North-Center,storageD,2005-01-04 03:00:00,43948091958.90916
Moz-North-Center,storageD,2005-01-04 04:00:00,43946763073.219246
Moz-North-Center,storageD,2005-01-04 05:00:00,43945436995.90801
Moz-North-Center,storageD,2005-01-04 06:00:00,43944565963.46574
Moz-North-Center,storageD,2005-01-04 07:00:00,43936429934.46574
Moz-North-Center,storageD,2005-01-04 08:00:00,43936978118.026535
Moz-North-Center,storageD,2005-01-04 09:00:00,43936891182.35326
Moz-North-Center,storageD,2005-01-04 10:00:00,43936879752.92825
Moz-North-Center,storageD,2005-01-04 11:00:00,43936918423.117294
Moz-North-Center,storageD,2005-01-04 12:00:00,43936956423.247444
Moz-North-Center,storageD,2005-01-04 13:00:00,43928820394.247444
Moz-North-Center,storageD,2005-01-04 14:00:00,43927692033.836716
Moz-North-Center,storageD,2005-01-04 15:00:00,43926397165.5186
Moz-North-Center,storageD,2005-01-04 16:00:00,43918261136.5186
Moz-North-Center,storageD,2005-01-04 17:00:00,43910125107.5186
Moz-North-Center,storageD,2005-01-04 18:00:00,43910517279.79841
Moz-North-Center,storageD,2005-01-04 19:00:00,43911492633.69211
Moz-North-Center,storageD,2005-01-04 20:00:00,43912036133.24226
Moz-North-Center,storageD,2005-01-04 21:00:00,43903900104.24226
Moz-North-Center,storageD,2005-01-04 22:00:00,43902562585.784134
Moz-North-Center,storageD,2005-01-04 23:00:00,43894426556.784134
Moz-North-Center,storageD,2005-01-05 00:00:00,43886290527.784134
Moz-North-Center,storageD,2005-01-05 01:00:00,43878154498.784134
Moz-North-Center,storageD,2005-01-05 02:00:00,43876815054.92374
Moz-North-Center,storageD,2005-01-05 03:00:00,43875475128.91616
Moz-North-Center,storageD,2005-01-05 04:00:00,43867339099.91616
Moz-North-Center,storageD,2005-01-05 05:00:00,43859203070.91616
Moz-North-Center,storageD,2005-01-05 06:00:00,43851067041.91616
Moz-North-Center,storageD,2005-01-05 07:00:00,43842931012.91616
Moz-North-Center,storageD,2005-01-05 08:00:00,43843467889.0332
Moz-North-Center,storageD,2005-01-05 09:00:00,43835331860.0332
Moz-North-Center,storageD,2005-01-05 10:00:00,43827195831.0332
Moz-North-Center,storageD,2005-01-05 11:00:00,43819059802.0332
Moz-North-Center,storageD,2005-01-05 12:00:00,43810923773.0332
Moz-North-Center,storageD,2005-01-05 13:00:00,43810011311.55261
Moz-North-Center,storageD,2005-01-05 14:00:00,43801875282.55261
Moz-North-Center,storageD,2005-01-05 15:00:00,43800569274.52122
Moz-North-Center,storageD,2005-01-05 16:00:00,43792433245.52122
Moz-North-Center,storageD,2005-01-05 17:00:00,43784297216.52122
Moz-North-Center,storageD,2005-01-05 18:00:00,43776161187.52122
Moz-North-Center,storageD,2005-01-05 19:00:00,43768025158.52122
Moz-North-Center,storageD,2005-01-05 20:00:00,43768557265.30675
