costs,locs,techs,cost
monetary,Botswana,Coal,397606038.01459503
monetary,Botswana,DieselEngine,13874575.086801073
monetary,Botswana,ElectricTransmission132kV:SudAfrica,0.0
monetary,Botswana,ElectricTransmission132kV:Zimbabwe,21811191.55384184
monetary,Botswana,ElectricTransmission400kV:SudAfrica,0.0
monetary,Botswana,ElectricTransmission400kV:Zimbabwe,10752410.897680301
monetary,Botswana,OCGT,17838739.397315662
monetary,Moz-North-Center,DieselEngine,23059.543794263383
monetary,Moz-North-Center,ElectricTransmission400kV:Zimbabwe,34610.011654972026
monetary,Moz-North-Center,ElectricTransmission533kV:SudAfrica,0.0
monetary,Moz-North-Center,OCGT,2774915.0173602146
monetary,Moz-North-Center,hydroD,998215417.6509017
monetary,Moz-North-Center,storageD,0.0
monetary,Moz-North-Center,supply_waterD,0.0
monetary,Moz-South,DieselEngine,1625.3073673109825
monetary,Moz-South,ElectricTransmission275kV:SudAfrica,14167372.80000274
monetary,Moz-South,ElectricTransmission400kV:SudAfrica,86345557.22441493
monetary,Moz-South,GasEngine,358666804.5886425
monetary,Moz-South,OCGT,4756997.17261751
monetary,Moz-South,hydro,7985723.341207214
monetary,Namibia,Coal,63025711.084443614
monetary,Namibia,DieselEngine,7631016.29774059
monetary,Namibia,ElectricTransmission132kV:Zambia,10639150.487991342
monetary,Namibia,ElectricTransmission275kV:SudAfrica,0.0
monetary,Namibia,ElectricTransmission400kV:SudAfrica,0.0
monetary,Namibia,hydro,144320301.34711832
monetary,SudAfrica,Coal,26450092328.90158
monetary,SudAfrica,ElectricTransmission132kV:Botswana,264712.7695277476
monetary,SudAfrica,ElectricTransmission275kV:Moz-South,0.0
monetary,SudAfrica,ElectricTransmission275kV:Namibia,7927250.163578682
monetary,SudAfrica,ElectricTransmission400kV:Botswana,299632.11919660226
monetary,SudAfrica,ElectricTransmission400kV:Moz-South,0.0
monetary,SudAfrica,ElectricTransmission400kV:Namibia,7646217.978641142
monetary,SudAfrica,ElectricTransmission533kV:Moz-North-Center,229740046.88333055
monetary,SudAfrica,Nuclear,2493516523.493882
monetary,SudAfrica,OCGT,675691806.7272122
monetary,SudAfrica,PV,440946002.1531379
monetary,SudAfrica,Wind,1042017505.5621494
monetary,SudAfrica,hydro,288640602.69423664
monetary,Zambia,Coal,157561507.96980956
monetary,Zambia,DieselEngine,17616746.195926845
monetary,Zambia,ElectricTransmission132kV:Namibia,0.0
monetary,Zambia,ElectricTransmission330kV:Zimbabwe,0.0
monetary,Zambia,HFO,29955174.691697627
monetary,Zambia,PV,299149.25519208814
monetary,Zambia,hydro,99821541.76509017
monetary,Zambia,hydroA,57728120.53884733
monetary,Zambia,hydroB,476256994.4454904
monetary,Zambia,hydroC,519553084.84962595
monetary,Zambia,storageA,0.0
monetary,Zambia,storageB,0.0
monetary,Zambia,storageC,0.0
monetary,Zambia,supply_waterA,0.0
monetary,Zambia,supply_waterB,0.0
monetary,Zambia,supply_waterC,0.0
monetary,Zimbabwe,Biomass,104041040.49767984
monetary,Zimbabwe,Coal,483188624.44074935
monetary,Zimbabwe,Coal_old,115315117.17282861
monetary,Zimbabwe,ElectricTransmission132kV:Botswana,0.0
monetary,Zimbabwe,ElectricTransmission330kV:Zambia,14132116.454646932
monetary,Zimbabwe,ElectricTransmission400kV:Botswana,0.0
monetary,Zimbabwe,ElectricTransmission400kV:Moz-North-Center,0.0
monetary,Zimbabwe,hydroC,360800753.36779577
