timesteps,Moz-North-Center
2005-01-01 00:00:00,5.285224453191474e-09
2005-01-01 01:00:00,5.28532902234977e-09
2005-01-01 02:00:00,5.2854311446455416e-09
2005-01-01 03:00:00,5.285531638721245e-09
2005-01-01 04:00:00,5.285631323364738e-09
2005-01-01 05:00:00,5.285718542608529e-09
2005-01-01 06:00:00,5.285787865687508e-09
2005-01-01 07:00:00,5.2862549664790255e-09
2005-01-01 08:00:00,5.2863191245364055e-09
2005-01-01 09:00:00,5.286394252559821e-09
2005-01-01 10:00:00,5.286469439047687e-09
2005-01-01 11:00:00,5.286936708720993e-09
2005-01-01 12:00:00,5.286993074999113e-09
2005-01-01 13:00:00,5.287460474471183e-09
2005-01-01 14:00:00,5.287539861176977e-09
2005-01-01 15:00:00,5.287624198037237e-09
2005-01-01 16:00:00,5.288091754010926e-09
2005-01-01 17:00:00,5.288166586345741e-09
2005-01-01 18:00:00,5.2882110549043044e-09
2005-01-01 19:00:00,5.288678756460649e-09
2005-01-01 20:00:00,5.289146574080498e-09
2005-01-01 21:00:00,5.289211787361016e-09
2005-01-01 22:00:00,5.289679737299511e-09
2005-01-01 23:00:00,5.290147803439005e-09
2005-01-02 00:00:00,5.290245456788925e-09
2005-01-02 01:00:00,5.290350533172489e-09
2005-01-02 02:00:00,5.290453156058476e-09
2005-01-02 03:00:00,5.29092141433053e-09
2005-01-02 04:00:00,5.291021635940519e-09
2005-01-02 05:00:00,5.291490035496055e-09
2005-01-02 06:00:00,5.2915598210263586e-09
2005-01-02 07:00:00,5.292028354384511e-09
2005-01-02 08:00:00,5.292092955762637e-09
2005-01-02 09:00:00,5.292561621714088e-09
2005-01-02 10:00:00,5.2926373297070965e-09
2005-01-02 11:00:00,5.293106131094637e-09
2005-01-02 12:00:00,5.293162915439707e-09
2005-01-02 13:00:00,5.29323555342644e-09
2005-01-02 14:00:00,5.293315406525003e-09
2005-01-02 15:00:00,5.293784376680086e-09
2005-01-02 16:00:00,5.293862614203793e-09
2005-01-02 17:00:00,5.294331720608572e-09
2005-01-02 18:00:00,5.294376506841467e-09
2005-01-02 19:00:00,5.294845741245026e-09
2005-01-02 20:00:00,5.294868624652648e-09
2005-01-02 21:00:00,5.294934212239845e-09
2005-01-02 22:00:00,5.295016641812954e-09
