timesteps,Zambia
2005-01-01 00:00:00,1.671548799380283e-08
2005-01-01 01:00:00,1.6715517296988248e-08
2005-01-01 02:00:00,1.6715548789997054e-08
2005-01-01 03:00:00,1.671558174296641e-08
2005-01-01 04:00:00,1.671561542604792e-08
2005-01-01 05:00:00,1.671566005739437e-08
2005-01-01 06:00:00,1.6715720807989624e-08
2005-01-01 07:00:00,1.6715790919035514e-08
2005-01-01 08:00:00,1.671585631382876e-08
2005-01-01 09:00:00,1.6715911941805022e-08
2005-01-01 10:00:00,1.6715967523528683e-08
2005-01-01 11:00:00,1.671603052097844e-08
2005-01-01 12:00:00,1.671610290606283e-08
2005-01-01 13:00:00,1.6716161227496358e-08
2005-01-01 14:00:00,1.6716213161712067e-08
2005-01-01 15:00:00,1.6716260716901683e-08
2005-01-01 16:00:00,1.671631411156416e-08
2005-01-01 17:00:00,1.6716370174233534e-08
2005-01-01 18:00:00,1.671645325916841e-08
2005-01-01 19:00:00,1.6716575759322408e-08
2005-01-01 20:00:00,1.671667829866151e-08
2005-01-01 21:00:00,1.6716742974555594e-08
2005-01-01 22:00:00,1.671679272348436e-08
2005-01-01 23:00:00,1.671682933426962e-08
2005-01-02 00:00:00,1.6716865215380917e-08
2005-01-02 01:00:00,1.6716894527513947e-08
2005-01-02 02:00:00,1.6716926029631154e-08
2005-01-02 03:00:00,1.671695899181614e-08
2005-01-02 04:00:00,1.671699268416694e-08
2005-01-02 05:00:00,1.671703732558631e-08
2005-01-02 06:00:00,1.6717098087054878e-08
2005-01-02 07:00:00,1.671716820938857e-08
2005-01-02 08:00:00,1.6717233618157652e-08
2005-01-02 09:00:00,1.671728925701451e-08
2005-01-02 10:00:00,1.671734484961562e-08
2005-01-02 11:00:00,1.6717407877418247e-08
2005-01-02 12:00:00,1.6717480286671536e-08
2005-01-02 13:00:00,1.671753862894185e-08
2005-01-02 14:00:00,1.6717590573767985e-08
2005-01-02 15:00:00,1.6717638139246752e-08
2005-01-02 16:00:00,1.6717691544627152e-08
2005-01-02 17:00:00,1.6717747621231688e-08
2005-01-02 18:00:00,1.6717830719064364e-08
2005-01-02 19:00:00,1.671795323500997e-08
2005-01-02 20:00:00,1.6718055788675552e-08
2005-01-02 21:00:00,1.6718120476116568e-08
2005-01-02 22:00:00,1.6718170235496496e-08
2005-01-02 23:00:00,1.6718206855768465e-08
2005-01-03 00:00:00,1.671823242693062e-08
2005-01-03 01:00:00,1.6718267164039852e-08
2005-01-03 02:00:00,1.6718292735653162e-08
2005-01-03 03:00:00,1.6718323806955228e-08
2005-01-03 04:00:00,1.671835793375138e-08
2005-01-03 05:00:00,1.6718396338155737e-08
2005-01-03 06:00:00,1.6718451986262412e-08
2005-01-03 07:00:00,1.6718568301594495e-08
2005-01-03 08:00:00,1.6718657376377574e-08
2005-01-03 09:00:00,1.6718731295112032e-08
2005-01-03 10:00:00,1.671880707644262e-08
2005-01-03 11:00:00,1.6718884512575392e-08
2005-01-03 12:00:00,1.6718961768043574e-08
2005-01-03 13:00:00,1.671901742068157e-08
2005-01-03 14:00:00,1.6719066829087254e-08
2005-01-03 15:00:00,1.6719108293786946e-08
2005-01-03 16:00:00,1.6719157702796467e-08
2005-01-03 17:00:00,1.671922236664726e-08
2005-01-03 18:00:00,1.6719307333808317e-08
2005-01-03 19:00:00,1.6719410642363242e-08
2005-01-03 20:00:00,1.6719517529634503e-08
2005-01-03 21:00:00,1.671956694176129e-08
2005-01-03 22:00:00,1.671959252157504e-08
2005-01-03 23:00:00,1.6719624212542754e-08
2005-01-04 00:00:00,1.6719649792807795e-08
2005-01-04 01:00:00,1.6719684539725935e-08
2005-01-04 02:00:00,1.6719710120442302e-08
2005-01-04 03:00:00,1.6719741201271083e-08
2005-01-04 04:00:00,1.6719775337829355e-08
2005-01-04 05:00:00,1.671981375232538e-08
2005-01-04 06:00:00,1.6719869411851948e-08
2005-01-04 07:00:00,1.6719985733059184e-08
2005-01-04 08:00:00,1.6720074816373833e-08
2005-01-04 09:00:00,1.6720148748765605e-08
2005-01-04 10:00:00,1.6720224549938886e-08
2005-01-04 11:00:00,1.6720302005440612e-08
2005-01-04 12:00:00,1.6720379274810435e-08
2005-01-04 13:00:00,1.6720434938869715e-08
2005-01-04 14:00:00,1.672048435821574e-08
2005-01-04 15:00:00,1.6720525833243908e-08
2005-01-04 16:00:00,1.6720575253193886e-08
2005-01-04 17:00:00,1.672063992630042e-08
2005-01-04 18:00:00,1.672072490711473e-08
2005-01-04 19:00:00,1.6720828230762635e-08
2005-01-04 20:00:00,1.67209351334028e-08
2005-01-04 21:00:00,1.6720984556471016e-08
2005-01-04 22:00:00,1.6721010145390345e-08
2005-01-04 23:00:00,1.6721041845934486e-08
2005-01-05 00:00:00,1.6721067435305282e-08
2005-01-05 01:00:00,1.672110219203542e-08
2005-01-05 02:00:00,1.672112778185771e-08
2005-01-05 03:00:00,1.6721158872216208e-08
2005-01-05 04:00:00,1.6721193018539682e-08
2005-01-05 05:00:00,1.672123144313056e-08
2005-01-05 06:00:00,1.672128711408064e-08
2005-01-05 07:00:00,1.6721403454217362e-08
2005-01-05 08:00:00,1.6721492555286738e-08
2005-01-05 09:00:00,1.6721566510977502e-08
2005-01-05 10:00:00,1.6721642332866922e-08
2005-01-05 11:00:00,1.672171980694274e-08
2005-01-05 12:00:00,1.672179710105594e-08
2005-01-05 13:00:00,1.6721852776540478e-08
2005-01-05 14:00:00,1.672190220683081e-08
2005-01-05 15:00:00,1.6721943692191332e-08
2005-01-05 16:00:00,1.6721993123085997e-08
2005-01-05 17:00:00,1.6722057812163828e-08
2005-01-05 18:00:00,1.672214280672266e-08
2005-01-05 19:00:00,1.6722246145469423e-08
2005-01-05 20:00:00,1.6722353063484473e-08
2005-01-05 21:00:00,1.6722402497498378e-08
2005-01-05 22:00:00,1.672242809552681e-08
2005-01-05 23:00:00,1.6722459805651106e-08
2005-01-06 00:00:00,1.6722485404131193e-08
2005-01-06 01:00:00,1.6722520170677145e-08
2005-01-06 02:00:00,1.6722545769608902e-08
2005-01-06 03:00:00,1.672257686950082e-08
2005-01-06 04:00:00,1.67226110255933e-08
2005-01-06 05:00:00,1.6722649460282945e-08
2005-01-06 06:00:00,1.6722705142660987e-08
2005-01-06 07:00:00,1.6722821497215142e-08
2005-01-06 08:00:00,1.672291060279606e-08
2005-01-06 09:00:00,1.672298454476422e-08
2005-01-06 10:00:00,1.67230603433862e-08
2005-01-06 11:00:00,1.672313779494887e-08
2005-01-06 12:00:00,1.6723215069990183e-08
2005-01-06 13:00:00,1.672327075690324e-08
2005-01-06 14:00:00,1.6723320198140776e-08
2005-01-06 15:00:00,1.672336169383625e-08
2005-01-06 16:00:00,1.6723411135678276e-08
2005-01-06 17:00:00,1.672347583588407e-08
2005-01-06 18:00:00,1.6723560844090696e-08
2005-01-06 19:00:00,1.6723664197939963e-08
2005-01-06 20:00:00,1.672377113133362e-08
2005-01-06 21:00:00,1.672382057629585e-08
2005-01-06 22:00:00,1.6723846183435608e-08
2005-01-06 23:00:00,1.6723877903142367e-08
2005-01-07 00:00:00,1.672390351073393e-08
2005-01-07 01:00:00,1.6723938287098064e-08
2005-01-07 02:00:00,1.6723963895141487e-08
2005-01-07 03:00:00,1.672399500456913e-08
2005-01-07 04:00:00,1.6724029170432962e-08
2005-01-07 05:00:00,1.672406761522383e-08
2005-01-07 06:00:00,1.6724123309032567e-08
2005-01-07 07:00:00,1.6724239672959195e-08
2005-01-07 08:00:00,1.6724328786895438e-08
2005-01-07 09:00:00,1.6724402748055427e-08
2005-01-07 10:00:00,1.6724478580858946e-08
2005-01-07 11:00:00,1.6724556075715282e-08
2005-01-07 12:00:00,1.6724633390639513e-08
2005-01-07 13:00:00,1.672468908898517e-08
2005-01-07 14:00:00,1.6724738541173997e-08
2005-01-07 15:00:00,1.672478004720834e-08
2005-01-07 16:00:00,1.672482950000189e-08
2005-01-07 17:00:00,1.6724894211644293e-08
2005-01-07 18:00:00,1.6724979233585315e-08
2005-01-07 19:00:00,1.672508260254286e-08
2005-01-07 20:00:00,1.672518955132098e-08
2005-01-07 21:00:00,1.6725239007235712e-08
