timesteps,Zambia
2005-01-01 00:00:00,9.442198189393655e-07
2005-01-01 01:00:00,9.442229944150148e-07
2005-01-01 02:00:00,9.442501337343262e-07
2005-01-01 03:00:00,9.442770230326861e-07
2005-01-01 04:00:00,9.442717605472711e-07
2005-01-01 05:00:00,9.442552918967677e-07
2005-01-01 06:00:00,9.442387240428581e-07
2005-01-01 07:00:00,9.442220575795846e-07
2005-01-01 08:00:00,9.442052925335913e-07
2005-01-01 09:00:00,9.44188429211369e-07
2005-01-01 10:00:00,9.442158812202941e-07
2005-01-01 11:00:00,9.441990657040438e-07
2005-01-01 12:00:00,9.441821518595486e-07
2005-01-01 13:00:00,9.441651399918507e-07
2005-01-01 14:00:00,9.441480304043828e-07
2005-01-01 15:00:00,9.441308236897277e-07
2005-01-01 16:00:00,9.441135198600414e-07
2005-01-01 17:00:00,9.440961192139653e-07
2005-01-01 18:00:00,9.441243767280045e-07
2005-01-01 19:00:00,9.441070223921837e-07
2005-01-01 20:00:00,9.440895711912215e-07
2005-01-01 21:00:00,9.440720234223277e-07
2005-01-01 22:00:00,9.441004845401035e-07
2005-01-01 23:00:00,9.44088898836511e-07
2005-01-02 00:00:00,9.440787598170386e-07
2005-01-02 01:00:00,9.440820134955587e-07
2005-01-02 02:00:00,9.441103905201369e-07
2005-01-02 03:00:00,9.441385261855437e-07
2005-01-02 04:00:00,9.441329308821489e-07
2005-01-02 05:00:00,9.441155799470415e-07
2005-01-02 06:00:00,9.440981314997467e-07
2005-01-02 07:00:00,9.44126371890183e-07
2005-01-02 08:00:00,9.441089695933452e-07
2005-01-02 09:00:00,9.440914697370066e-07
2005-01-02 10:00:00,9.441197667444599e-07
2005-01-02 11:00:00,9.441023128685521e-07
2005-01-02 12:00:00,9.440847613861872e-07
2005-01-02 13:00:00,9.440671125979091e-07
2005-01-02 14:00:00,9.440956148888159e-07
2005-01-02 15:00:00,9.440780115912288e-07
2005-01-02 16:00:00,9.440603109411483e-07
2005-01-02 17:00:00,9.440425132376608e-07
2005-01-02 18:00:00,9.440246187782762e-07
2005-01-02 19:00:00,9.440066278589382e-07
2005-01-02 20:00:00,9.43988540774034e-07
2005-01-02 21:00:00,9.440176875813752e-07
2005-01-02 22:00:00,9.440465983649335e-07
2005-01-02 23:00:00,9.440347224057149e-07
2005-01-03 00:00:00,9.440634935922361e-07
2005-01-03 01:00:00,9.440555550032292e-07
2005-01-03 02:00:00,9.440664762362418e-07
2005-01-03 03:00:00,9.440660826722546e-07
2005-01-03 04:00:00,9.440594031475311e-07
2005-01-03 05:00:00,9.440438722535794e-07
2005-01-03 06:00:00,9.440725679449769e-07
2005-01-03 07:00:00,9.440547732798645e-07
2005-01-03 08:00:00,9.44036880951671e-07
2005-01-03 09:00:00,9.440188912605999e-07
2005-01-03 10:00:00,9.440008045052711e-07
2005-01-03 11:00:00,9.440298524335484e-07
2005-01-03 12:00:00,9.440118094368199e-07
