timesteps,Zambia
2005-01-01 00:00:00,9.442198186435143e-07
2005-01-01 01:00:00,9.442229937969654e-07
2005-01-01 02:00:00,9.442219036503636e-07
2005-01-01 03:00:00,9.442179660845416e-07
2005-01-01 04:00:00,9.442125955888685e-07
2005-01-01 05:00:00,9.441957921848518e-07
2005-01-01 06:00:00,9.441788907563107e-07
2005-01-01 07:00:00,9.44161891603775e-07
2005-01-01 08:00:00,9.441447950261819e-07
2005-01-01 09:00:00,9.441276013208874e-07
2005-01-01 10:00:00,9.441103107836762e-07
2005-01-01 11:00:00,9.440929233921753e-07
2005-01-01 12:00:00,9.440754394357785e-07
2005-01-01 13:00:00,9.440578592004708e-07
2005-01-01 14:00:00,9.440401832926201e-07
2005-01-01 15:00:00,9.440224116799732e-07
2005-01-01 16:00:00,9.440045446460452e-07
2005-01-01 17:00:00,9.439865827973274e-07
2005-01-01 18:00:00,9.439685260927205e-07
2005-01-01 19:00:00,9.439503748114433e-07
2005-01-01 20:00:00,9.439321292313065e-07
2005-01-01 21:00:00,9.439137896287245e-07
2005-01-01 22:00:00,9.438953562787213e-07
2005-01-01 23:00:00,9.438830896676586e-07
2005-01-02 00:00:00,9.438723572364994e-07
2005-01-02 01:00:00,9.438757940793913e-07
2005-01-02 02:00:00,9.438745023185763e-07
2005-01-02 03:00:00,9.43870054090275e-07
2005-01-02 04:00:00,9.438640183920476e-07
2005-01-02 05:00:00,9.438453221412863e-07
2005-01-02 06:00:00,9.438265330288959e-07
2005-01-02 07:00:00,9.438076513240785e-07
2005-01-02 08:00:00,9.437886772946899e-07
2005-01-02 09:00:00,9.437696112072475e-07
2005-01-02 10:00:00,9.437504533269382e-07
2005-01-02 11:00:00,9.437312039176269e-07
2005-01-02 12:00:00,9.437118632418636e-07
2005-01-02 13:00:00,9.436924315608922e-07
2005-01-02 14:00:00,9.437237962650463e-07
2005-01-02 15:00:00,9.437549400927933e-07
2005-01-02 16:00:00,9.437356771721072e-07
2005-01-02 17:00:00,9.437163226031767e-07
2005-01-02 18:00:00,9.436968766491004e-07
2005-01-02 19:00:00,9.436773395716674e-07
2005-01-02 20:00:00,9.436577116313636e-07
2005-01-02 21:00:00,9.436379930873794e-07
2005-01-02 22:00:00,9.43618184197619e-07
2005-01-02 23:00:00,9.436049769916041e-07
2005-01-03 00:00:00,9.436171710225143e-07
2005-01-03 01:00:00,9.436082918870935e-07
2005-01-03 02:00:00,9.436204754440751e-07
2005-01-03 03:00:00,9.436523357008226e-07
2005-01-03 04:00:00,9.436449117736369e-07
2005-01-03 05:00:00,9.436276783054284e-07
2005-01-03 06:00:00,9.436077936608174e-07
2005-01-03 07:00:00,9.435878188093627e-07
2005-01-03 08:00:00,9.435677540069723e-07
2005-01-03 09:00:00,9.435475995082865e-07
