techs,colors
hydro,#02FFD3
storageB,#FF02EF
hydroD,#003C72
storageA,#FF02EF
storageD,#3B61E3
supply_waterB,#0287FF
ConversionPlusC,#3c7632
OCGT,#E84C4C
Coal_old,#5E5E5E
demand_power,#072486
demand_waterC,#BD07FB
HFO,#AF2D2D
spillageD,#FFAE02
hydroC,#118EC2
ConversionPlus0,#19122b
ElectricTransmission132kV,#8465A9
supply_waterA,#0287FF
WaterCTransmission,#000572
ElectricTransmission220kV,#8465A9
spillageC,#FFAE02
supply_waterC,#0287FF
Coal,#CCCCCC
demand_waterB,#BD07FB
Wind,#FF2020
supply_waterD,#07FBF5
ElectricTransmission330kV,#8465A9
hydroA,#1DFF97
ConversionPlusA,#17344c
DieselEngine,#E33B78
ElectricTransmission400kV,#8465A9
WaterDTransmission,#000572
hydro0,#1DFF97
ElectricTransmission533kV,#8465A9
Biomass,#20FF30
ConversionPlusB,#185b48
GasEngine,#E9A603
supply_water0,#0287FF
spillageB,#FFAE02
hydroB,#1D3EFF
storageC,#FF02EF
demand_waterA,#BD07FB
PV,#F3F311
Nuclear,#84008A
spillageA,#FFAE02
ElectricTransmission275kV,#8465A9
