locs,techs,timesteps,storage
Moz-North-Center,storageD,2005-01-01 00:00:00,44143663971.0
Moz-North-Center,storageD,2005-01-01 01:00:00,44141841444.4066
Moz-North-Center,storageD,2005-01-01 02:00:00,44140061651.95368
Moz-North-Center,storageD,2005-01-01 03:00:00,44138309917.22141
Moz-North-Center,storageD,2005-01-01 04:00:00,44136572377.49681
Moz-North-Center,storageD,2005-01-01 05:00:00,44135052088.295944
Moz-North-Center,storageD,2005-01-01 06:00:00,44133843624.02331
Moz-North-Center,storageD,2005-01-01 07:00:00,44125707595.02331
Moz-North-Center,storageD,2005-01-01 08:00:00,44124589890.6928
Moz-North-Center,storageD,2005-01-01 09:00:00,44116453861.6928
Moz-North-Center,storageD,2005-01-01 10:00:00,44108317832.6928
Moz-North-Center,storageD,2005-01-01 11:00:00,44107152654.60656
Moz-North-Center,storageD,2005-01-01 12:00:00,44099016625.60656
Moz-North-Center,storageD,2005-01-01 13:00:00,44097759500.47967
Moz-North-Center,storageD,2005-01-01 14:00:00,44096377435.42827
Moz-North-Center,storageD,2005-01-01 15:00:00,44094909686.25162
Moz-North-Center,storageD,2005-01-01 16:00:00,44093556037.56167
Moz-North-Center,storageD,2005-01-01 17:00:00,44085420008.56167
Moz-North-Center,storageD,2005-01-01 18:00:00,44084646789.625786
Moz-North-Center,storageD,2005-01-01 19:00:00,44076510760.625786
Moz-North-Center,storageD,2005-01-01 20:00:00,44076118020.53355
Moz-North-Center,storageD,2005-01-01 21:00:00,44067981991.53355
Moz-North-Center,storageD,2005-01-01 22:00:00,44066556612.66016
Moz-North-Center,storageD,2005-01-01 23:00:00,44058420583.66016
Moz-North-Center,storageD,2005-01-02 00:00:00,44056723920.40021
Moz-North-Center,storageD,2005-01-02 01:00:00,44048587891.40021
Moz-North-Center,storageD,2005-01-02 02:00:00,44046805460.175575
Moz-North-Center,storageD,2005-01-02 03:00:00,44045051494.88113
Moz-North-Center,storageD,2005-01-02 04:00:00,44043311725.225975
Moz-North-Center,storageD,2005-01-02 05:00:00,44035175696.225975
Moz-North-Center,storageD,2005-01-02 06:00:00,44033965032.46021
Moz-North-Center,storageD,2005-01-02 07:00:00,44025829003.46021
Moz-North-Center,storageD,2005-01-02 08:00:00,44024709159.66701
Moz-North-Center,storageD,2005-01-02 09:00:00,44016573130.66701
Moz-North-Center,storageD,2005-01-02 10:00:00,44015260825.15408
Moz-North-Center,storageD,2005-01-02 11:00:00,44014093852.32396
Moz-North-Center,storageD,2005-01-02 12:00:00,44013110284.068214
Moz-North-Center,storageD,2005-01-02 13:00:00,44004974255.068214
Moz-North-Center,storageD,2005-01-02 14:00:00,44003590498.336205
Moz-North-Center,storageD,2005-01-02 15:00:00,44002121060.13864
Moz-North-Center,storageD,2005-01-02 16:00:00,43993985031.13864
Moz-North-Center,storageD,2005-01-02 17:00:00,43985849002.13864
Moz-North-Center,storageD,2005-01-02 18:00:00,43985074143.941925
Moz-North-Center,storageD,2005-01-02 19:00:00,43976938114.941925
Moz-North-Center,storageD,2005-01-02 20:00:00,43968802085.941925
Moz-North-Center,storageD,2005-01-02 21:00:00,43960666056.941925
Moz-North-Center,storageD,2005-01-02 22:00:00,43952530027.941925
Moz-North-Center,storageD,2005-01-02 23:00:00,43950846003.662674
Moz-North-Center,storageD,2005-01-03 00:00:00,43942709974.662674
