timesteps,Moz-North-Center
2005-01-01 00:00:00,5.285224453191474e-09
2005-01-01 01:00:00,5.2853290456812856e-09
2005-01-01 02:00:00,5.2854311913114594e-09
2005-01-01 03:00:00,5.285531732058969e-09
2005-01-01 04:00:00,5.285631463379896e-09
2005-01-01 05:00:00,5.285718729279691e-09
2005-01-01 06:00:00,5.285788099042846e-09
2005-01-01 07:00:00,5.28625519989217e-09
2005-01-01 08:00:00,5.286319377907282e-09
2005-01-01 09:00:00,5.286786610391647e-09
2005-01-01 10:00:00,5.287253958680015e-09
2005-01-01 11:00:00,5.287320898109907e-09
2005-01-01 12:00:00,5.287788378865287e-09
2005-01-01 13:00:00,5.28786062122425e-09
2005-01-01 14:00:00,5.2879400466159394e-09
2005-01-01 15:00:00,5.28802439982112e-09
2005-01-01 16:00:00,5.288102198887884e-09
2005-01-01 17:00:00,5.288569873435904e-09
2005-01-01 18:00:00,5.288614325580492e-09
2005-01-01 19:00:00,5.289082127209252e-09
2005-01-01 20:00:00,5.2891047117346535e-09
2005-01-01 21:00:00,5.2895726350891935e-09
2005-01-01 22:00:00,5.289654624148068e-09
2005-01-01 23:00:00,5.2901226840505805e-09
2005-01-02 00:00:00,5.290220306517141e-09
2005-01-02 01:00:00,5.290688506934553e-09
2005-01-02 02:00:00,5.290791095239467e-09
2005-01-02 03:00:00,5.290892050631562e-09
2005-01-02 04:00:00,5.290992194288405e-09
2005-01-02 05:00:00,5.291460586525562e-09
2005-01-02 06:00:00,5.291530294545814e-09
2005-01-02 07:00:00,5.29199882056193e-09
2005-01-02 08:00:00,5.292063317647835e-09
2005-01-02 09:00:00,5.292531976226928e-09
2005-01-02 10:00:00,5.292607579702046e-09
2005-01-02 11:00:00,5.292674812937407e-09
2005-01-02 12:00:00,5.2927314814806224e-09
2005-01-02 13:00:00,5.293200306297279e-09
2005-01-02 14:00:00,5.293280054531311e-09
2005-01-02 15:00:00,5.293364744428314e-09
2005-01-02 16:00:00,5.2938337268660935e-09
2005-01-02 17:00:00,5.294302826076977e-09
2005-01-02 18:00:00,5.294347508186368e-09
2005-01-02 19:00:00,5.294816735365895e-09
2005-01-02 20:00:00,5.295286079454274e-09
2005-01-02 21:00:00,5.295755540516374e-09
2005-01-02 22:00:00,5.296225118617106e-09
2005-01-02 23:00:00,5.296322328191572e-09
2005-01-03 00:00:00,5.296792047642529e-09
2005-01-03 01:00:00,5.2972618842755465e-09
2005-01-03 02:00:00,5.297731838155689e-09
2005-01-03 03:00:00,5.2982019093480686e-09
2005-01-03 04:00:00,5.29867209791785e-09
2005-01-03 05:00:00,5.2991424039302435e-09
2005-01-03 06:00:00,5.299218333909092e-09
2005-01-03 07:00:00,5.29968877640414e-09
2005-01-03 08:00:00,5.300159336482911e-09
2005-01-03 09:00:00,5.300630014210771e-09
2005-01-03 10:00:00,5.30110080965313e-09
2005-01-03 11:00:00,5.301571722875448e-09
2005-01-03 12:00:00,5.302042753943237e-09
2005-01-03 13:00:00,5.302118823124383e-09
2005-01-03 14:00:00,5.302589991148627e-09
2005-01-03 15:00:00,5.303061277160101e-09
2005-01-03 16:00:00,5.303532681224466e-09
2005-01-03 17:00:00,5.304004203407437e-09
2005-01-03 18:00:00,5.304047192455757e-09
2005-01-03 19:00:00,5.304518843599852e-09
2005-01-03 20:00:00,5.304990613000122e-09
2005-01-03 21:00:00,5.305462500722429e-09
2005-01-03 22:00:00,5.305572964672068e-09
2005-01-03 23:00:00,5.306044998500934e-09
2005-01-04 00:00:00,5.30651715079915e-09
2005-01-04 01:00:00,5.3066172879315726e-09
2005-01-04 02:00:00,5.307089583909581e-09
2005-01-04 03:00:00,5.307561998503053e-09
2005-01-04 04:00:00,5.307662921295326e-09
2005-01-04 05:00:00,5.307758806034256e-09
2005-01-04 06:00:00,5.3078353078989775e-09
2005-01-04 07:00:00,5.307842927272266e-09
2005-01-04 08:00:00,5.307881474100098e-09
2005-01-04 09:00:00,5.307937226940777e-09
2005-01-04 10:00:00,5.3079908594996e-09
2005-01-04 11:00:00,5.308463500546046e-09
2005-01-04 12:00:00,5.3089362604003645e-09
2005-01-04 13:00:00,5.309012803742233e-09
2005-01-04 14:00:00,5.309485701720735e-09
2005-01-04 15:00:00,5.309578426471129e-09
2005-01-04 16:00:00,5.309662129667985e-09
2005-01-04 17:00:00,5.30972850068856e-09
2005-01-04 18:00:00,5.3102015787052855e-09
2005-01-04 19:00:00,5.310224020477849e-09
2005-01-04 20:00:00,5.310697223194708e-09
