timesteps,Moz-North-Center
2005-01-01 00:00:00,5.285224453191474e-09
2005-01-01 01:00:00,5.285334494202145e-09
2005-01-01 02:00:00,5.285444527733817e-09
2005-01-01 03:00:00,5.285554553721623e-09
2005-01-01 04:00:00,5.285664572131601e-09
2005-01-01 05:00:00,5.285768361838517e-09
2005-01-01 06:00:00,5.285832544480757e-09
2005-01-01 07:00:00,5.285875650877368e-09
2005-01-01 08:00:00,5.285929326512407e-09
2005-01-01 09:00:00,5.286012909113189e-09
2005-01-01 10:00:00,5.286103490642897e-09
2005-01-01 11:00:00,5.286162479536384e-09
2005-01-01 12:00:00,5.2866296731412626e-09
2005-01-01 13:00:00,5.286699197453565e-09
2005-01-01 14:00:00,5.2867941823436075e-09
2005-01-01 15:00:00,5.286894461769451e-09
2005-01-01 16:00:00,5.287361836793903e-09
2005-01-01 17:00:00,5.287436530598098e-09
2005-01-01 18:00:00,5.287453144742834e-09
2005-01-01 19:00:00,5.287397613872759e-09
2005-01-01 20:00:00,5.2873825438374416e-09
2005-01-01 21:00:00,5.28785003987974e-09
2005-01-01 22:00:00,5.287947588466807e-09
2005-01-01 23:00:00,5.288057576181395e-09
2005-01-02 00:00:00,5.2881675566954054e-09
2005-01-02 01:00:00,5.288277529765297e-09
2005-01-02 02:00:00,5.288387495295056e-09
2005-01-02 03:00:00,5.2888552406321916e-09
2005-01-02 04:00:00,5.2889652118138406e-09
2005-01-02 05:00:00,5.2890689426225026e-09
2005-01-02 06:00:00,5.289536857096959e-09
2005-01-02 07:00:00,5.289579801233431e-09
2005-01-02 08:00:00,5.2900478425538914e-09
2005-01-02 09:00:00,5.290131348942973e-09
2005-01-02 10:00:00,5.290221853054108e-09
2005-01-02 11:00:00,5.290280703218729e-09
2005-01-02 12:00:00,5.290748918641683e-09
2005-01-02 13:00:00,5.290818338784448e-09
2005-01-02 14:00:00,5.290913278585052e-09
2005-01-02 15:00:00,5.291013517097376e-09
2005-01-02 16:00:00,5.2911066155508e-09
2005-01-02 17:00:00,5.291575036230696e-09
2005-01-02 18:00:00,5.291591435434296e-09
2005-01-02 19:00:00,5.291535522834038e-09
2005-01-02 20:00:00,5.291520164554075e-09
2005-01-02 21:00:00,5.291575338684474e-09
2005-01-02 22:00:00,5.291672837826313e-09
2005-01-02 23:00:00,5.292141399288466e-09
2005-01-03 00:00:00,5.292251377112067e-09
2005-01-03 01:00:00,5.292720082472586e-09
2005-01-03 02:00:00,5.292830066265043e-09
2005-01-03 03:00:00,5.293298915615485e-09
2005-01-03 04:00:00,5.293767881665238e-09
2005-01-03 05:00:00,5.293877886258004e-09
2005-01-03 06:00:00,5.293961154069242e-09
2005-01-03 07:00:00,5.293943916659794e-09
2005-01-03 08:00:00,5.293944438865191e-09
2005-01-03 09:00:00,5.293981931126602e-09
2005-01-03 10:00:00,5.294014996221007e-09
2005-01-03 11:00:00,5.294484140576159e-09
2005-01-03 12:00:00,5.29451425530719e-09
2005-01-03 13:00:00,5.2949835240279905e-09
2005-01-03 14:00:00,5.295081543959883e-09
2005-01-03 15:00:00,5.295189235581006e-09
2005-01-03 16:00:00,5.295287197937592e-09
2005-01-03 17:00:00,5.295342330610586e-09
2005-01-03 18:00:00,5.295351584611078e-09
2005-01-03 19:00:00,5.295821062001742e-09
2005-01-03 20:00:00,5.2958214247200445e-09
2005-01-03 21:00:00,5.296291019248848e-09
2005-01-03 22:00:00,5.29640102110305e-09
2005-01-03 23:00:00,5.296511015326635e-09
2005-01-04 00:00:00,5.296980781845528e-09
2005-01-04 01:00:00,5.297090781978094e-09
2005-01-04 02:00:00,5.297200774686581e-09
2005-01-04 03:00:00,5.297310759733356e-09
2005-01-04 04:00:00,5.2974207369965424e-09
2005-01-04 05:00:00,5.2975307084000065e-09
2005-01-04 06:00:00,5.298000729380981e-09
2005-01-04 07:00:00,5.29798320539455e-09
2005-01-04 08:00:00,5.297983475680014e-09
2005-01-04 09:00:00,5.298453609702157e-09
2005-01-04 10:00:00,5.2984864897768724e-09
2005-01-04 11:00:00,5.298516408384558e-09
2005-01-04 12:00:00,5.298546330520304e-09
2005-01-04 13:00:00,5.2986310779655156e-09
2005-01-04 14:00:00,5.298729051242015e-09
2005-01-04 15:00:00,5.299199371482517e-09
2005-01-04 16:00:00,5.2996698092387944e-09
2005-01-04 17:00:00,5.299724819851455e-09
2005-01-04 18:00:00,5.299733836432405e-09
2005-01-04 19:00:00,5.300204407775497e-09
2005-01-04 20:00:00,5.300204511159667e-09
2005-01-04 21:00:00,5.30030241343638e-09
2005-01-04 22:00:00,5.30041240194515e-09
2005-01-04 23:00:00,5.300883142959132e-09
2005-01-05 00:00:00,5.300993137344464e-09
2005-01-05 01:00:00,5.301103123845271e-09
2005-01-05 02:00:00,5.301213102844138e-09
2005-01-05 03:00:00,5.301323074153117e-09
2005-01-05 04:00:00,5.301433037587567e-09
2005-01-05 05:00:00,5.301542995088583e-09
2005-01-05 06:00:00,5.302014018966245e-09
2005-01-05 07:00:00,5.302485160750933e-09
2005-01-05 08:00:00,5.302956420508248e-09
2005-01-05 09:00:00,5.3029935667175675e-09
2005-01-05 10:00:00,5.303026259607052e-09
2005-01-05 11:00:00,5.303055986079774e-09
2005-01-05 12:00:00,5.30308570895049e-09
2005-01-05 13:00:00,5.303170387075084e-09
2005-01-05 14:00:00,5.30364181847565e-09
2005-01-05 15:00:00,5.303749493042064e-09
2005-01-05 16:00:00,5.30384739885943e-09
2005-01-05 17:00:00,5.304318999920578e-09
2005-01-05 18:00:00,5.304327777436526e-09
2005-01-05 19:00:00,5.304302351722081e-09
2005-01-05 20:00:00,5.304302193176408e-09
2005-01-05 21:00:00,5.304773908251845e-09
2005-01-05 22:00:00,5.304883908496537e-09
2005-01-05 23:00:00,5.304993900904837e-09
2005-01-06 00:00:00,5.305465789451896e-09
2005-01-06 01:00:00,5.30593779638736e-09
2005-01-06 02:00:00,5.306047807980765e-09
2005-01-06 03:00:00,5.306157811746434e-09
2005-01-06 04:00:00,5.306267807549429e-09
2005-01-06 05:00:00,5.3067400157800615e-09
2005-01-06 06:00:00,5.306823101878603e-09
2005-01-06 07:00:00,5.306804965112974e-09
2005-01-06 08:00:00,5.306804718053656e-09
2005-01-06 09:00:00,5.30727706109973e-09
2005-01-06 10:00:00,5.307309610248161e-09
2005-01-06 11:00:00,5.307339185090185e-09
2005-01-06 12:00:00,5.30781166238478e-09
2005-01-06 13:00:00,5.307896330160409e-09
2005-01-06 14:00:00,5.3083689474493625e-09
2005-01-06 15:00:00,5.308476654005038e-09
2005-01-06 16:00:00,5.30857455796764e-09
2005-01-06 17:00:00,5.308629311937802e-09
2005-01-06 18:00:00,5.309102113480788e-09
2005-01-06 19:00:00,5.3090763558528414e-09
2005-01-06 20:00:00,5.309075932411171e-09
2005-01-06 21:00:00,5.309548846266743e-09
2005-01-06 22:00:00,5.309658874062688e-09
