timesteps,Zambia
2005-01-01 00:00:00,9.232593635934582e-08
2005-01-01 01:00:00,9.232815177194845e-08
2005-01-01 02:00:00,9.233127923689562e-08
2005-01-01 03:00:00,9.233501560514842e-08
2005-01-01 04:00:00,9.233905597290444e-08
2005-01-01 05:00:00,9.234552084354754e-08
2005-01-01 06:00:00,9.235198676807835e-08
2005-01-01 07:00:00,9.235845577915016e-08
2005-01-01 08:00:00,9.236492788009714e-08
2005-01-01 09:00:00,9.237140307425856e-08
2005-01-01 10:00:00,9.23778813649789e-08
2005-01-01 11:00:00,9.23843627556078e-08
2005-01-01 12:00:00,9.239084521084101e-08
2005-01-01 13:00:00,9.239733077049693e-08
2005-01-01 14:00:00,9.240381739765429e-08
2005-01-01 15:00:00,9.24103050936779e-08
2005-01-01 16:00:00,9.241679385949459e-08
2005-01-01 17:00:00,9.242328369603221e-08
2005-01-01 18:00:00,9.242977460465872e-08
2005-01-01 19:00:00,9.243626658630397e-08
2005-01-01 20:00:00,9.244275964189876e-08
2005-01-01 21:00:00,9.24492537723748e-08
2005-01-01 22:00:00,9.24557489786648e-08
2005-01-01 23:00:00,9.246103075908517e-08
2005-01-02 00:00:00,9.2466007885221e-08
2005-01-02 01:00:00,9.246823780237636e-08
2005-01-02 02:00:00,9.247138359910852e-08
2005-01-02 03:00:00,9.247514015669988e-08
2005-01-02 04:00:00,9.247920229814716e-08
2005-01-02 05:00:00,9.24857015308984e-08
2005-01-02 06:00:00,9.249220184510082e-08
2005-01-02 07:00:00,9.249870324169317e-08
2005-01-02 08:00:00,9.250520572205466e-08
2005-01-02 09:00:00,9.251170928756578e-08
2005-01-02 10:00:00,9.251821393916848e-08
2005-01-02 11:00:00,9.252471967824561e-08
2005-01-02 12:00:00,9.253122650618139e-08
2005-01-02 13:00:00,9.253773442436136e-08
2005-01-02 14:00:00,9.254424343417247e-08
2005-01-02 15:00:00,9.255075353700319e-08
2005-01-02 16:00:00,9.255726473424312e-08
2005-01-02 17:00:00,9.256377702684211e-08
2005-01-02 18:00:00,9.25702904157509e-08
2005-01-02 19:00:00,9.257680490192141e-08
2005-01-02 20:00:00,9.258332048630639e-08
2005-01-02 21:00:00,9.258983717030075e-08
2005-01-02 22:00:00,9.259635495530078e-08
2005-01-02 23:00:00,9.260165457785642e-08
2005-01-03 00:00:00,9.260231609211934e-08
2005-01-03 01:00:00,9.260682530792846e-08
2005-01-03 02:00:00,9.260748665047103e-08
2005-01-03 03:00:00,9.261045672975027e-08
2005-01-03 04:00:00,9.261470974061927e-08
2005-01-03 05:00:00,9.262075939109956e-08
2005-01-03 06:00:00,9.262728114042123e-08
2005-01-03 07:00:00,9.263380399823404e-08
2005-01-03 08:00:00,9.264032796594275e-08
2005-01-03 09:00:00,9.264685304451077e-08
2005-01-03 10:00:00,9.265337923490241e-08
2005-01-03 11:00:00,9.265990653808309e-08
2005-01-03 12:00:00,9.26664349554619e-08
2005-01-03 13:00:00,9.267296448844934e-08
2005-01-03 14:00:00,9.26794951384574e-08
2005-01-03 15:00:00,9.268602690645595e-08
2005-01-03 16:00:00,9.269255979341593e-08
2005-01-03 17:00:00,9.269909380075261e-08
2005-01-03 18:00:00,9.270562892943897e-08
2005-01-03 19:00:00,9.271216518089267e-08
2005-01-03 20:00:00,9.271870255653289e-08
2005-01-03 21:00:00,9.272524105733597e-08
2005-01-03 22:00:00,9.272590225720393e-08
2005-01-03 23:00:00,9.27291373493055e-08
2005-01-04 00:00:00,9.272979835014156e-08
2005-01-04 01:00:00,9.273432215417154e-08
2005-01-04 02:00:00,9.27349837453145e-08
2005-01-04 03:00:00,9.273796268466724e-08
2005-01-04 04:00:00,9.274222934759086e-08
2005-01-04 05:00:00,9.274829936734901e-08
2005-01-04 06:00:00,9.275484326588929e-08
2005-01-04 07:00:00,9.276138829560629e-08
2005-01-04 08:00:00,9.276793445748317e-08
2005-01-04 09:00:00,9.277448175294853e-08
2005-01-04 10:00:00,9.278103018298771e-08
2005-01-04 11:00:00,9.278757974858702e-08
2005-01-04 12:00:00,9.279413045073361e-08
2005-01-04 13:00:00,9.28006822904158e-08
2005-01-04 14:00:00,9.280723526862292e-08
2005-01-04 15:00:00,9.281378938634527e-08
2005-01-04 16:00:00,9.282034464457423e-08
2005-01-04 17:00:00,9.282690104430227e-08
2005-01-04 18:00:00,9.283345858696735e-08
2005-01-04 19:00:00,9.284001727400891e-08
2005-01-04 20:00:00,9.284657710642287e-08
2005-01-04 21:00:00,9.2853138085206e-08
2005-01-04 22:00:00,9.28537995686072e-08
2005-01-04 23:00:00,9.285704467141743e-08
2005-01-05 00:00:00,9.285770595669829e-08
2005-01-05 01:00:00,9.286224304463608e-08
2005-01-05 02:00:00,9.286290416222465e-08
2005-01-05 03:00:00,9.28658908880245e-08
2005-01-05 04:00:00,9.287016993315606e-08
2005-01-05 05:00:00,9.287625877738426e-08
2005-01-05 06:00:00,9.28828232070464e-08
2005-01-05 07:00:00,9.288938878854794e-08
2005-01-05 08:00:00,9.289595552289159e-08
2005-01-05 09:00:00,9.290252341108121e-08
2005-01-05 10:00:00,9.290909245412147e-08
2005-01-05 11:00:00,9.291566265346349e-08
2005-01-05 12:00:00,9.292223401055962e-08
2005-01-05 13:00:00,9.292880652686394e-08
2005-01-05 14:00:00,9.293538020338567e-08
2005-01-05 15:00:00,9.294195504113501e-08
2005-01-05 16:00:00,9.294853104156947e-08
2005-01-05 17:00:00,9.295510820614803e-08
2005-01-05 18:00:00,9.296168653588428e-08
2005-01-05 19:00:00,9.296826603223974e-08
2005-01-05 20:00:00,9.297484669623019e-08
2005-01-05 21:00:00,9.298142852931954e-08
2005-01-05 22:00:00,9.298208956964972e-08
2005-01-05 23:00:00,9.298534356497044e-08
2005-01-06 00:00:00,9.298600440915793e-08
2005-01-06 01:00:00,9.299055506876613e-08
2005-01-06 02:00:00,9.299121574755242e-08
2005-01-06 03:00:00,9.2994210448172e-08
2005-01-06 04:00:00,9.299850215067028e-08
2005-01-06 05:00:00,9.300461021637157e-08
2005-01-06 06:00:00,9.301119560821995e-08
2005-01-06 07:00:00,9.301778217474011e-08
2005-01-06 08:00:00,9.302436991695503e-08
2005-01-06 09:00:00,9.303095883633644e-08
2005-01-06 10:00:00,9.303754893435761e-08
2005-01-06 11:00:00,9.304414021249322e-08
2005-01-06 12:00:00,9.305073267221955e-08
2005-01-06 13:00:00,9.30573263150144e-08
2005-01-06 14:00:00,9.306392114235703e-08
2005-01-06 15:00:00,9.307051715527852e-08
2005-01-06 16:00:00,9.307711435481103e-08
2005-01-06 17:00:00,9.308371274198776e-08
2005-01-06 18:00:00,9.309031231784287e-08
2005-01-06 19:00:00,9.30969130838615e-08
2005-01-06 20:00:00,9.310351504108012e-08
2005-01-06 21:00:00,9.311011819053633e-08
2005-01-06 22:00:00,9.311077883568776e-08
2005-01-06 23:00:00,9.3114041953595e-08
2005-01-07 00:00:00,9.311470240491549e-08
2005-01-07 01:00:00,9.311926695849246e-08
2005-01-07 02:00:00,9.311992724737856e-08
2005-01-07 03:00:00,9.312293013710744e-08
2005-01-07 04:00:00,9.312723480368356e-08
2005-01-07 05:00:00,9.313336252763253e-08
2005-01-07 06:00:00,9.313996935398372e-08
2005-01-07 07:00:00,9.314657738005619e-08
2005-01-07 08:00:00,9.315318660734584e-08
2005-01-07 09:00:00,9.315979703689818e-08
2005-01-07 10:00:00,9.316640866975976e-08
2005-01-07 11:00:00,9.317302150697832e-08
2005-01-07 12:00:00,9.317963554960251e-08
2005-01-07 13:00:00,9.318625079913409e-08
2005-01-07 14:00:00,9.319286725707634e-08
2005-01-07 15:00:00,9.319948492448156e-08
2005-01-07 16:00:00,9.320610380285565e-08
2005-01-07 17:00:00,9.321272389370605e-08
2005-01-07 18:00:00,9.32193451985419e-08
2005-01-07 19:00:00,9.32259677188738e-08
2005-01-07 20:00:00,9.323259145621398e-08
2005-01-07 21:00:00,9.323921641207614e-08
2005-01-07 22:00:00,9.32398767183011e-08
2005-01-07 23:00:00,9.32431492076131e-08
2005-01-08 00:00:00,9.324969806735943e-08
2005-01-08 01:00:00,9.325339657851535e-08
2005-01-08 02:00:00,9.325804589823129e-08
2005-01-08 03:00:00,9.326332951946614e-08
2005-01-08 04:00:00,9.326893079939479e-08
2005-01-08 05:00:00,9.327556150584228e-08
2005-01-08 06:00:00,9.328219344126414e-08
2005-01-08 07:00:00,9.32888266071864e-08
2005-01-08 08:00:00,9.329546100513667e-08
2005-01-08 09:00:00,9.33020966366441e-08
2005-01-08 10:00:00,9.330873350323952e-08
2005-01-08 11:00:00,9.331537160645538e-08
2005-01-08 12:00:00,9.332201094782566e-08
2005-01-08 13:00:00,9.332865152888595e-08
2005-01-08 14:00:00,9.333529335117352e-08
2005-01-08 15:00:00,9.33419364162272e-08
2005-01-08 16:00:00,9.334858072558746e-08
2005-01-08 17:00:00,9.335522628079636e-08
2005-01-08 18:00:00,9.336187308339766e-08
2005-01-08 19:00:00,9.336852113493659e-08
2005-01-08 20:00:00,9.337517043696022e-08
2005-01-08 21:00:00,9.338182099101706e-08
2005-01-08 22:00:00,9.338847279865734e-08
2005-01-08 23:00:00,9.33951258614329e-08
2005-01-09 00:00:00,9.340170231773705e-08
2005-01-09 01:00:00,9.340541523123014e-08
2005-01-09 02:00:00,9.341008337916258e-08
2005-01-09 03:00:00,9.341538879233988e-08
2005-01-09 04:00:00,9.342101336188537e-08
2005-01-09 05:00:00,9.342767217055118e-08
2005-01-09 06:00:00,9.343433224379635e-08
2005-01-09 07:00:00,9.34409935831841e-08
2005-01-09 08:00:00,9.344765619027961e-08
2005-01-09 09:00:00,9.34543200666495e-08
2005-01-09 10:00:00,9.346098521386213e-08
2005-01-09 11:00:00,9.346765163348748e-08
2005-01-09 12:00:00,9.34743193270973e-08
2005-01-09 13:00:00,9.348098829626493e-08
2005-01-09 14:00:00,9.348765854256534e-08
2005-01-09 15:00:00,9.34943300675753e-08
2005-01-09 16:00:00,9.350100287287316e-08
2005-01-09 17:00:00,9.3507676960039e-08
2005-01-09 18:00:00,9.351435233065456e-08
2005-01-09 19:00:00,9.352102898630329e-08
2005-01-09 20:00:00,9.352770692857028e-08
2005-01-09 21:00:00,9.353438615904238e-08
2005-01-09 22:00:00,9.354106667930803e-08
2005-01-09 23:00:00,9.354774849095754e-08
2005-01-10 00:00:00,9.354983328089589e-08
2005-01-10 01:00:00,9.35559329129851e-08
2005-01-10 02:00:00,9.355801795676922e-08
2005-01-10 03:00:00,9.356251237677004e-08
2005-01-10 04:00:00,9.356834608874238e-08
2005-01-10 05:00:00,9.357503248944776e-08
2005-01-10 06:00:00,9.358172019012392e-08
2005-01-10 07:00:00,9.358840919237179e-08
2005-01-10 08:00:00,9.3595099497794e-08
2005-01-10 09:00:00,9.360179110799496e-08
2005-01-10 10:00:00,9.360848402458081e-08
2005-01-10 11:00:00,9.361517824915927e-08
2005-01-10 12:00:00,9.362187378334006e-08
2005-01-10 13:00:00,9.362857062873433e-08
2005-01-10 14:00:00,9.363526878695513e-08
2005-01-10 15:00:00,9.364196825961731e-08
2005-01-10 16:00:00,9.364866904833727e-08
2005-01-10 17:00:00,9.365537115473335e-08
2005-01-10 18:00:00,9.366207458042549e-08
2005-01-10 19:00:00,9.366877932703549e-08
2005-01-10 20:00:00,9.367548539618678e-08
2005-01-10 21:00:00,9.368219278950467e-08
2005-01-10 22:00:00,9.368428390314205e-08
2005-01-10 23:00:00,9.368906274036582e-08
2005-01-11 00:00:00,9.369115401960965e-08
2005-01-11 01:00:00,9.36972777359132e-08
2005-01-11 02:00:00,9.369936928716368e-08
2005-01-11 03:00:00,9.370388078906329e-08
2005-01-11 04:00:00,9.370973747838884e-08
2005-01-11 05:00:00,9.371645062673416e-08
2005-01-11 06:00:00,9.372316510994848e-08
2005-01-11 07:00:00,9.372988092967008e-08
2005-01-11 08:00:00,9.373659808753921e-08
2005-01-11 09:00:00,9.37433165851978e-08
2005-01-11 10:00:00,9.37500364242895e-08
2005-01-11 11:00:00,9.375675760645986e-08
2005-01-11 12:00:00,9.376348013335624e-08
2005-01-11 13:00:00,9.377020400662769e-08
2005-01-11 14:00:00,9.377692922792509e-08
2005-01-11 15:00:00,9.378365579890126e-08
2005-01-11 16:00:00,9.379038372121059e-08
2005-01-11 17:00:00,9.379711299650947e-08
2005-01-11 18:00:00,9.380384362645596e-08
2005-01-11 19:00:00,9.381057561271004e-08
2005-01-11 20:00:00,9.381730895693349e-08
2005-01-11 21:00:00,9.382404366078985e-08
2005-01-11 22:00:00,9.382614151855495e-08
2005-01-11 23:00:00,9.38309391023464e-08
2005-01-12 00:00:00,9.383303714261371e-08
2005-01-12 01:00:00,9.383918564571554e-08
2005-01-12 02:00:00,9.384128397654297e-08
2005-01-12 03:00:00,9.38458130913641e-08
2005-01-12 04:00:00,9.385169343339186e-08
2005-01-12 05:00:00,9.385843409701161e-08
2005-01-12 06:00:00,9.386517613122e-08
2005-01-12 07:00:00,9.38719195376942e-08
2005-01-12 08:00:00,9.38786643181133e-08
2005-01-12 09:00:00,9.388541047415815e-08
2005-01-12 10:00:00,9.38921580075115e-08
2005-01-12 11:00:00,9.389890691985794e-08
2005-01-12 12:00:00,9.390565721288398e-08
2005-01-12 13:00:00,9.391240888827784e-08
2005-01-12 14:00:00,9.391916194772978e-08
2005-01-12 15:00:00,9.392591639293184e-08
2005-01-12 16:00:00,9.393267222557788e-08
2005-01-12 17:00:00,9.393942944736379e-08
2005-01-12 18:00:00,9.394618805998712e-08
2005-01-12 19:00:00,9.395294806514749e-08
2005-01-12 20:00:00,9.395970946454628e-08
2005-01-12 21:00:00,9.396647225988687e-08
2005-01-12 22:00:00,9.396857713932615e-08
2005-01-12 23:00:00,9.397339404095446e-08
2005-01-13 00:00:00,9.39754991201555e-08
2005-01-13 01:00:00,9.398167312907516e-08
2005-01-13 02:00:00,9.398377851779901e-08
2005-01-13 03:00:00,9.398832578893442e-08
2005-01-13 04:00:00,9.399423047482483e-08
2005-01-13 05:00:00,9.40009994393715e-08
2005-01-13 06:00:00,9.400776981107878e-08
2005-01-13 07:00:00,9.401454159166415e-08
2005-01-13 08:00:00,9.402131478284689e-08
2005-01-13 09:00:00,9.402808938634838e-08
2005-01-13 10:00:00,9.40348654038918e-08
2005-01-13 11:00:00,9.404164283720228e-08
2005-01-13 12:00:00,9.404842168800691e-08
2005-01-13 13:00:00,9.405520195803464e-08
2005-01-13 14:00:00,9.406198364901637e-08
2005-01-13 15:00:00,9.406876676268504e-08
2005-01-13 16:00:00,9.407555130077535e-08
2005-01-13 17:00:00,9.408233726502406e-08
2005-01-13 18:00:00,9.408912465716987e-08
2005-01-13 19:00:00,9.409591347895343e-08
2005-01-13 20:00:00,9.410270373211727e-08
2005-01-13 21:00:00,9.410949541840591e-08
2005-01-13 22:00:00,9.411160760349379e-08
2005-01-13 23:00:00,9.411644440772176e-08
2005-01-14 00:00:00,9.411855681021047e-08
2005-01-14 01:00:00,9.412475706102926e-08
2005-01-14 02:00:00,9.412686979242966e-08
2005-01-14 03:00:00,9.413143577611998e-08
2005-01-14 04:00:00,9.413736551344844e-08
2005-01-14 05:00:00,9.414416358327736e-08
2005-01-14 06:00:00,9.415096309772331e-08
