timesteps,Zambia
2005-01-01 00:00:00,9.442178778461846e-07
2005-01-01 01:00:00,9.442197905648943e-07
2005-01-01 02:00:00,9.442172036034769e-07
2005-01-01 03:00:00,9.442116064163844e-07
2005-01-01 04:00:00,9.442044950701701e-07
2005-01-01 05:00:00,9.441853037133169e-07
2005-01-01 06:00:00,9.441659949424356e-07
2005-01-01 07:00:00,9.441936465787092e-07
2005-01-01 08:00:00,9.441743736849702e-07
2005-01-01 09:00:00,9.441549733108505e-07
2005-01-01 10:00:00,9.441354458839539e-07
2005-01-01 11:00:00,9.44115791829394e-07
2005-01-01 12:00:00,9.440960220045753e-07
2005-01-01 13:00:00,9.440761265248861e-07
2005-01-01 14:00:00,9.440561163688165e-07
2005-01-01 15:00:00,9.440359921375765e-07
2005-01-01 16:00:00,9.440157544306466e-07
2005-01-01 17:00:00,9.439954038435663e-07
2005-01-01 18:00:00,9.43974940965643e-07
2005-01-01 19:00:00,9.439543663845936e-07
2005-01-01 20:00:00,9.439336806842893e-07
2005-01-01 21:00:00,9.439128844447914e-07
2005-01-01 22:00:00,9.438919782423786e-07
2005-01-01 23:00:00,9.438775515999546e-07
2005-01-02 00:00:00,9.438647347600225e-07
2005-01-02 01:00:00,9.438668373769974e-07
2005-01-02 02:00:00,9.438639631144294e-07
2005-01-02 03:00:00,9.438940808639198e-07
2005-01-02 04:00:00,9.438862805940979e-07
2005-01-02 05:00:00,9.438652490912063e-07
2005-01-02 06:00:00,9.438441090645295e-07
2005-01-02 07:00:00,9.438228610771718e-07
2005-01-02 08:00:00,9.438015056861743e-07
2005-01-02 09:00:00,9.437800434449173e-07
2005-01-02 10:00:00,9.437584749056001e-07
2005-01-02 11:00:00,9.437368006144092e-07
2005-01-02 12:00:00,9.437150211139597e-07
2005-01-02 13:00:00,9.436931369433241e-07
2005-01-02 14:00:00,9.436711486380611e-07
2005-01-02 15:00:00,9.436490567302445e-07
2005-01-02 16:00:00,9.436268617484913e-07
2005-01-02 17:00:00,9.43604564220528e-07
2005-01-02 18:00:00,9.435821646707262e-07
2005-01-02 19:00:00,9.435596636201316e-07
2005-01-02 20:00:00,9.435370615864901e-07
2005-01-02 21:00:00,9.435143590816926e-07
2005-01-02 22:00:00,9.434915566143362e-07
2005-01-02 23:00:00,9.434758451746945e-07
2005-01-03 00:00:00,9.434874342760318e-07
2005-01-03 01:00:00,9.434763762611843e-07
2005-01-03 02:00:00,9.434879664484923e-07
2005-01-03 03:00:00,9.434859728628585e-07
2005-01-03 04:00:00,9.434764294469187e-07
2005-01-03 05:00:00,9.43456261675008e-07
2005-01-03 06:00:00,9.43433221899987e-07
2005-01-03 07:00:00,9.434100840598982e-07
2005-01-03 08:00:00,9.433868486478667e-07
2005-01-03 09:00:00,9.434202204238038e-07
2005-01-03 10:00:00,9.433970340531597e-07
2005-01-03 11:00:00,9.43373750445672e-07
2005-01-03 12:00:00,9.433503700892525e-07
2005-01-03 13:00:00,9.433268934687123e-07
2005-01-03 14:00:00,9.43303321065788e-07
2005-01-03 15:00:00,9.432796533618662e-07
2005-01-03 16:00:00,9.432558908353517e-07
