timesteps,Moz-North-Center
2005-01-01 00:00:00,5.284832623143196e-09
2005-01-01 01:00:00,5.2849076691788155e-09
2005-01-01 02:00:00,5.285374551984458e-09
2005-01-01 03:00:00,5.285449653395697e-09
2005-01-01 04:00:00,5.285524763685961e-09
2005-01-01 05:00:00,5.285593556140508e-09
2005-01-01 06:00:00,5.285623351707706e-09
2005-01-01 07:00:00,5.285632324711968e-09
2005-01-01 08:00:00,5.285651766073755e-09
2005-01-01 09:00:00,5.2857008355491745e-09
2005-01-01 10:00:00,5.28616791478158e-09
2005-01-01 11:00:00,5.286192700230721e-09
2005-01-01 12:00:00,5.2861966010218815e-09
2005-01-01 13:00:00,5.286231840849534e-09
2005-01-01 14:00:00,5.286292284040559e-09
2005-01-01 15:00:00,5.28635800030235e-09
2005-01-01 16:00:00,5.286416671936299e-09
2005-01-01 17:00:00,5.2864571057353365e-09
2005-01-01 18:00:00,5.286924372351997e-09
2005-01-01 19:00:00,5.286836014623034e-09
2005-01-01 20:00:00,5.286787694192269e-09
2005-01-01 21:00:00,5.2868090298320785e-09
2005-01-01 22:00:00,5.286872155559301e-09
2005-01-01 23:00:00,5.28694762234562e-09
2005-01-02 00:00:00,5.287023098522521e-09
2005-01-02 01:00:00,5.28709860523493e-09
2005-01-02 02:00:00,5.2871741212296025e-09
2005-01-02 03:00:00,5.287249667860987e-09
2005-01-02 04:00:00,5.2877171309534425e-09
2005-01-02 05:00:00,5.287786376841678e-09
2005-01-02 06:00:00,5.287816578771581e-09
2005-01-02 07:00:00,5.287825907948934e-09
2005-01-02 08:00:00,5.288293513954881e-09
2005-01-02 09:00:00,5.2883429630615955e-09
2005-01-02 10:00:00,5.288399365421031e-09
2005-01-02 11:00:00,5.288424482178871e-09
2005-01-02 12:00:00,5.288428695695547e-09
2005-01-02 13:00:00,5.288464266561164e-09
2005-01-02 14:00:00,5.288525073644824e-09
2005-01-02 15:00:00,5.2885911526176864e-09
2005-01-02 16:00:00,5.288650209183916e-09
2005-01-02 17:00:00,5.288691011722531e-09
2005-01-02 18:00:00,5.288674330124572e-09
2005-01-02 19:00:00,5.288586200623393e-09
2005-01-02 20:00:00,5.288538177369807e-09
2005-01-02 21:00:00,5.288559855477174e-09
2005-01-02 22:00:00,5.2886233877181175e-09
2005-01-02 23:00:00,5.289091191595968e-09
2005-01-03 00:00:00,5.2891671022860705e-09
2005-01-03 01:00:00,5.289243022370128e-09
2005-01-03 02:00:00,5.2893189730009904e-09
2005-01-03 03:00:00,5.289394932938491e-09
2005-01-03 04:00:00,5.289470923641923e-09
2005-01-03 05:00:00,5.289546734697787e-09
2005-01-03 06:00:00,5.289596348170298e-09
2005-01-03 07:00:00,5.2895467364496905e-09
2005-01-03 08:00:00,5.290014769558899e-09
2005-01-03 09:00:00,5.290019209779819e-09
2005-01-03 10:00:00,5.29001928699523e-09
2005-01-03 11:00:00,5.290016455163963e-09
2005-01-03 12:00:00,5.290013629544845e-09
2005-01-03 13:00:00,5.2900648218569735e-09
2005-01-03 14:00:00,5.290129069730855e-09
2005-01-03 15:00:00,5.290202898648265e-09
2005-01-03 16:00:00,5.290267159670939e-09
2005-01-03 17:00:00,5.290289183924457e-09
2005-01-03 18:00:00,5.290265963146068e-09
2005-01-03 19:00:00,5.2902091892272326e-09
2005-01-03 20:00:00,5.290677386882625e-09
2005-01-03 21:00:00,5.290741770184916e-09
2005-01-03 22:00:00,5.290818090167892e-09
2005-01-03 23:00:00,5.290894440935268e-09
2005-01-04 00:00:00,5.290970822346864e-09
