timesteps,Zambia
2005-01-01 00:00:00,9.442198186435143e-07
2005-01-01 01:00:00,9.442229937969655e-07
2005-01-01 02:00:00,9.442219036503633e-07
2005-01-01 03:00:00,9.442179660845416e-07
2005-01-01 04:00:00,9.442125955888685e-07
2005-01-01 05:00:00,9.441957921848518e-07
2005-01-01 06:00:00,9.441788907563108e-07
2005-01-01 07:00:00,9.441618916037751e-07
2005-01-01 08:00:00,9.441447950261819e-07
2005-01-01 09:00:00,9.441276013208875e-07
2005-01-01 10:00:00,9.441555887663267e-07
2005-01-01 11:00:00,9.441384412037243e-07
2005-01-01 12:00:00,9.441211961397284e-07
2005-01-01 13:00:00,9.441038538650986e-07
2005-01-01 14:00:00,9.440864149866513e-07
2005-01-01 15:00:00,9.440688794811363e-07
2005-01-01 16:00:00,9.440512476367278e-07
2005-01-01 17:00:00,9.440335200603353e-07
2005-01-01 18:00:00,9.440623011405153e-07
2005-01-01 19:00:00,9.440446176180474e-07
2005-01-01 20:00:00,9.440268379836337e-07
2005-01-01 21:00:00,9.44055673935213e-07
2005-01-01 22:00:00,9.440842717132616e-07
2005-01-01 23:00:00,9.440726230464685e-07
2005-01-02 00:00:00,9.440624282916802e-07
2005-01-02 01:00:00,9.440656932555341e-07
2005-01-02 02:00:00,9.440644661297812e-07
2005-01-02 03:00:00,9.440602401695471e-07
2005-01-02 04:00:00,9.44088799899355e-07
2005-01-02 05:00:00,9.440712066925676e-07
2005-01-02 06:00:00,9.440996746654255e-07
2005-01-02 07:00:00,9.440821259977371e-07
2005-01-02 08:00:00,9.440644798414202e-07
2005-01-02 09:00:00,9.440467364889659e-07
2005-01-02 10:00:00,9.440754084730199e-07
2005-01-02 11:00:00,9.440577091716503e-07
2005-01-02 12:00:00,9.44039912614309e-07
2005-01-02 13:00:00,9.440220190922862e-07
2005-01-02 14:00:00,9.44004028895387e-07
2005-01-02 15:00:00,9.43985942311941e-07
2005-01-02 16:00:00,9.439677596288101e-07
2005-01-02 17:00:00,9.439494811314001e-07
2005-01-02 18:00:00,9.439789388076594e-07
2005-01-02 19:00:00,9.43960702613799e-07
2005-01-02 20:00:00,9.43942370547216e-07
2005-01-02 21:00:00,9.439239428921481e-07
2005-01-02 22:00:00,9.43905419931389e-07
2005-01-02 23:00:00,9.438930641318562e-07
2005-01-03 00:00:00,9.439044722388291e-07
2005-01-03 01:00:00,9.438961657761288e-07
2005-01-03 02:00:00,9.439260381744139e-07
2005-01-03 03:00:00,9.439256157110205e-07
2005-01-03 04:00:00,9.43918656634869e-07
2005-01-03 05:00:00,9.439483554034921e-07
2005-01-03 06:00:00,9.43929920414751e-07
